"","color_index","color_rgb","mean_response","v_index","L","a","b","C","H","r_rgb","g_rgb","b_rgb","r255","g255","b255","color_hex"
"1",0,"#2f6ef6",0.181083333333333,"V1",50,28.891,-73.589,79.05713631,291.4349439,0.18536,0.43139,0.96497,47.2668,110.00445,246.06735,"#2f6ef6"
"2",4,"#077acc",0.161083333333333,"V5",50,2.6168,-49.931,49.99952403,273.0000311,0.02815,0.47995,0.80007,7.17825,122.38725,204.01785,"#077acc"
"3",5,"#2e3086",0.143166666666667,"V6",25,27.583,-48.623,55.9018606,299.565504,0.17927,0.18835,0.5261,45.71385,48.02925,134.1555,"#2e3086"
"4",6,"#746bca",0.4365,"V7",50,27.583,-48.623,55.9018606,299.565504,0.45531,0.41794,0.79284,116.10405,106.5747,202.1742,"#746bca"
"5",9,"#cd26c7",0.621333333333333,"V10",50,77.514,-46.006,90.13862786,329.3100813,0.80294,0.14735,0.7795,204.7497,37.57425,198.7725,"#cd26c7"
"6",10,"#4dc7e8",0.1255,"V11",75,-23.657,-26.274,35.3550099,228.00026,0.30294,0.78057,0.90983,77.2497,199.04535,232.00665,"#4dc7e8"
"7",11,"#1c3d61",0.0861666666666667,"V12",25,1.3084,-24.966,25.00026133,272.9999711,0.11078,0.23798,0.38006,28.2489,60.6849,96.9153,"#1c3d61"
"8",17,"#72005e",0.578833333333333,"V18",25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828,"#72005e"
"9",20,"#39f6e0",0.191166666666667,"V21",88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,"#39f6e0"
"10",21,"#3b8378",0.31,"V22",50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,"#3b8378"
"11",23,"#a2eade",0.237916666666667,"V24",88,-24.966,-1.3084,25.00026133,182.9999711,0.63541,0.91934,0.87189,162.02955,234.4317,222.33195,"#a2eade"
"12",24,"#000000",0.51225,"V25",0,0,0,0,0,0,0,0,0,0,0,"#000000"
"13",28,"#ffffff",0.451666666666667,"V29",100,0,0,0,0,1,1,1,255,255,255,"#ffffff"
"14",29,"#dddddd",0.473,"V30",88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,"#dddddd"
"15",30,"#5e2b3a",0.630416666666667,"V31",25,24.966,1.3084,25.00026133,2.999971123,0.36814,0.16901,0.22803,93.8757,43.09755,58.14765,"#5e2b3a"
"16",33,"#c34f74",0.658,"V34",50,49.931,2.6168,49.99952403,3.000031095,0.76433,0.30881,0.45651,194.90415,78.74655,116.41005,"#c34f74"
"17",34,"#e31b73",0.621333333333333,"V35",50,74.897,3.9252,74.99978536,3.000011104,0.89143,0.10584,0.45276,227.31465,26.9892,115.4538,"#e31b73"
"18",36,"#73f5b0",0.35625,"V37",88,-51.24,22.349,55.90183719,156.4349439,0.45168,0.96053,0.69143,115.1784,244.93515,176.31465,"#73f5b0"
"19",37,"#184415",0.549416666666667,"V38",25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106,"#184415"
"20",40,"#baeaaf",0.4345,"V41",88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425,"#baeaaf"
"21",43,"#c7b88b",0.696916666666667,"V44",75,-1.3084,24.966,25.00026133,92.99997112,0.78226,0.72092,0.54415,199.4763,183.8346,138.75825,"#c7b88b"
"22",45,"#632b14",0.758166666666667,"V46",25,23.657,26.274,35.3550099,48.00025997,0.38773,0.16814,0.078494,98.87115,42.8757,20.01597,"#632b14"
"23",46,"#a8664b",0.780583333333333,"V47",50,23.657,26.274,35.3550099,48.00025997,0.65938,0.40118,0.29597,168.1419,102.3009,75.47235,"#a8664b"
"24",47,"#f1a78a",0.661,"V48",75,23.657,26.274,35.3550099,48.00025997,0.94491,0.65619,0.53969,240.95205,167.32845,137.62095,"#f1a78a"
"25",51,"#67cf5c",0.468666666666667,"V52",75,-52.548,47.315,70.71068893,137.9996578,0.40222,0.81194,0.36144,102.5661,207.0447,92.1672,"#67cf5c"
"26",55,"#c8e97d",0.53675,"V56",88,-27.583,48.623,55.9018606,119.565504,0.78297,0.91421,0.49082,199.65735,233.12355,125.1591,"#c8e97d"
"27",56,"#897618",0.673,"V57",50,-2.6168,49.931,49.99952403,93.0000311,0.53807,0.4637,0.095726,137.20785,118.2435,24.41013,"#897618"
"28",58,"#f7db7c",0.705583333333333,"V59",88,-2.6168,49.931,49.99952403,93.0000311,0.96685,0.86069,0.48682,246.54675,219.47595,124.1391,"#f7db7c"
"29",62,"#ea1d1d",0.701,"V63",50,72.28,53.857,90.13864237,36.69039245,0.91683,0.11258,0.11559,233.79165,28.7079,29.47545,"#ea1d1d"
"30",63,"#3efe44",0.519833333333333,"V64",88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872,"#3efe44"
"31",68,"#d5b811",0.645416666666667,"V69",75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,"#d5b811"
"32",69,"#fcdb42",0.71575,"V70",88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,"#fcdb42"
