color_index,color_rgb,shade_assoc,sun_assoc,L,a,b
0,#2f6ef6,0.3346875,0.401171875,50,28.891,-73.589
1,#3518ad,0.548046875,0.2059375,25,53.857,-72.28
2,#8558f4,0.388515625,0.190859375,50,53.857,-72.28
3,#b62ef2,0.243203125,0.191796875,50,78.822,-70.972
4,#077acc,0.35015625,0.394296875,50,2.6168,-49.931
5,#2e3086,0.648203125,0.16125,25,27.583,-48.623
6,#746bca,0.442890625,0.18953125,50,27.583,-48.623
7,#600b84,0.5521875,0.133515625,25,52.548,-47.315
8,#a553c8,0.278671875,0.224453125,50,52.548,-47.315
9,#cd26c7,0.139375,0.238828125,50,77.514,-46.006
10,#4dc7e8,0.13578125,0.478828125,75,-23.657,-26.274
11,#1c3d61,0.76234375,0.14546875,25,1.3084,-24.966
12,#5e78a1,0.641953125,0.156328125,50,1.3084,-24.966
13,#a0bae6,0.2725,0.343203125,75,1.3084,-24.966
14,#512d5f,0.67484375,0.092734375,25,26.274,-23.657
15,#90689f,0.42546875,0.147421875,50,26.274,-23.657
16,#d5a9e4,0.233203125,0.27671875,75,26.274,-23.657
17,#72005e,0.491640625,0.1359375,25,51.24,-22.349
18,#b8509e,0.200390625,0.232265625,50,51.24,-22.349
19,#db1f9d,0.119609375,0.29609375,50,76.206,-21.041
20,#39f6e0,0.110703125,0.3809375,88,-49.931,-2.6168
21,#3b8378,0.482109375,0.187421875,50,-24.966,-1.3084
22,#7ec6ba,0.223828125,0.3478125,75,-24.966,-1.3084
23,#a2eade,0.183203125,0.392578125,88,-24.966,-1.3084
24,#000000,0.935546875,0.008828125,0,0,0
25,#3b3b3b,0.9490625,0.00640625,25,0,0
26,#777777,0.819375,0.052421875,50,0,0
27,#b9b9b9,0.432109375,0.28953125,75,0,0
28,#ffffff,0.108203125,0.51125,100,0,0
29,#dddddd,0.180546875,0.451015625,88,0,0
30,#5e2b3a,0.6890625,0.097578125,25,24.966,1.3084
31,#a06776,0.398125,0.21671875,50,24.966,1.3084
32,#e6a8b7,0.175390625,0.39140625,75,24.966,1.3084
33,#c34f74,0.228671875,0.324140625,50,49.931,2.6168
34,#e31b73,0.09203125,0.297265625,50,74.897,3.9252
35,#4bcf8e,0.179453125,0.28609375,75,-51.24,22.349
36,#73f5b0,0.131015625,0.33765625,88,-51.24,22.349
37,#184415,0.645625,0.124921875,25,-26.274,23.657
38,#55824d,0.48453125,0.17578125,50,-26.274,23.657
39,#96c58c,0.20609375,0.360625,75,-26.274,23.657
40,#baeaaf,0.136015625,0.40765625,88,-26.274,23.657
41,#443b14,0.76828125,0.062109375,25,-1.3084,24.966
42,#83764c,0.610234375,0.2609375,50,-1.3084,24.966
43,#c7b88b,0.274765625,0.541875,75,-1.3084,24.966
44,#eddcad,0.151171875,0.611328125,88,-1.3084,24.966
45,#632b14,0.625078125,0.171953125,25,23.657,26.274
46,#a8664b,0.43109375,0.3203125,50,23.657,26.274
47,#f1a78a,0.191171875,0.47171875,75,23.657,26.274
48,#c94e4b,0.1753125,0.367578125,50,48.623,27.583
49,#e81a4b,0.085078125,0.345,50,73.589,28.891
50,#0e8a19,0.323125,0.2575,50,-52.548,47.315
51,#67cf5c,0.198828125,0.33890625,75,-52.548,47.315
52,#8cf47e,0.1284375,0.37140625,88,-52.548,47.315
53,#608218,0.411640625,0.22375,50,-27.583,48.623
54,#a3c55b,0.26640625,0.471796875,75,-27.583,48.623
55,#c8e97d,0.14484375,0.575390625,88,-27.583,48.623
56,#897618,0.488828125,0.370546875,50,-2.6168,49.931
57,#d0b85a,0.197265625,0.7825,75,-2.6168,49.931
58,#f7db7c,0.14515625,0.775859375,88,-2.6168,49.931
59,#ac6619,0.330703125,0.55390625,50,22.349,51.24
60,#f7a75a,0.16984375,0.6590625,75,22.349,51.24
61,#cc4f1b,0.201328125,0.6009375,50,47.315,52.548
62,#ea1d1d,0.08,0.394609375,50,72.28,53.857
63,#3efe44,0.1359375,0.361328125,88,-78.822,70.972
64,#73cf10,0.136953125,0.378125,75,-53.857,72.28
65,#9af443,0.1215625,0.473359375,88,-53.857,72.28
66,#aac510,0.194375,0.606171875,75,-28.891,73.589
67,#d0e942,0.118828125,0.839296875,88,-28.891,73.589
68,#d5b811,0.13171875,0.902734375,75,-3.9252,74.897
69,#fcdb42,0.094296875,0.9315625,88,-3.9252,74.897
70,#fba714,0.1259375,0.83453125,75,21.041,76.206
